medalist_name,medal,country_medal,date_of_birth,place_of_birth,place_of_birth_located_in,event_name
Kim Woo-jin,gold,South Korea,1992-06-20,Okcheon County,North Chungcheong,Archery at the 2024 Summer Olympics – Men's individual
Brady Ellison,silver,United States of America,1988-10-27,Glendale,Maricopa County,Archery at the 2024 Summer Olympics – Men's individual
Lee Woo-seok,bronze,South Korea,1997-08-07,Incheon,South Korea,Archery at the 2024 Summer Olympics – Men's individual
Kim Je-deok,gold,South Korea,2004-04-12,North Gyeongsang,South Korea,Archery at the 2024 Summer Olympics – Men's team
Kim Woo-jin,gold,South Korea,1992-06-20,Okcheon County,North Chungcheong,Archery at the 2024 Summer Olympics – Men's team
Lee Woo-seok,gold,South Korea,1997-08-07,Incheon,South Korea,Archery at the 2024 Summer Olympics – Men's team
Baptiste Addis,silver,France,2006-12-07,Orléans,Loiret,Archery at the 2024 Summer Olympics – Men's team
Thomas Chirault,silver,France,1997-09-15,Moreuil,Somme,Archery at the 2024 Summer Olympics – Men's team
Jean-Charles Valladont,silver,France,1989-03-20,Besançon,Doubs,Archery at the 2024 Summer Olympics – Men's team
Mete Gazoz,bronze,Turkey,1999-06-08,Istanbul,Istanbul Province,Archery at the 2024 Summer Olympics – Men's team
Abdullah Yıldırmış,bronze,Turkey,NA,Istanbul,Istanbul Province,Archery at the 2024 Summer Olympics – Men's team
Lim Si-hyeon,gold,South Korea,2003-06-13,Gangneung,Gangwon Province,Archery at the 2024 Summer Olympics – Women's individual
Nam Su-hyeon,silver,South Korea,2005-01-27,Suncheon,South Jeolla,Archery at the 2024 Summer Olympics – Women's individual
Lisa Barbelin,bronze,France,2000-04-10,Ley,canton of Vic-sur-Seille,Archery at the 2024 Summer Olympics – Women's individual
Jeon Hun-young,gold,South Korea,1994-05-29,Incheon,South Korea,archery at the 2024 Summer Olympics – women's team
Lim Si-hyeon,gold,South Korea,2003-06-13,Gangneung,Gangwon Province,archery at the 2024 Summer Olympics – women's team
Nam Su-hyeon,gold,South Korea,2005-01-27,Suncheon,South Jeolla,archery at the 2024 Summer Olympics – women's team
An Qixuan,silver,People's Republic of China,2000-12-03,Changji,Changji Hui Autonomous Prefecture,archery at the 2024 Summer Olympics – women's team
Li Jiaman,silver,People's Republic of China,1997-08-18,Beijing,People's Republic of China,archery at the 2024 Summer Olympics – women's team
Yang Xiaolei,silver,People's Republic of China,2000-06-28,Changzhou,Jiangsu,archery at the 2024 Summer Olympics – women's team
Ángela Ruiz,bronze,Mexico,2006-07-28,Saltillo,Saltillo,archery at the 2024 Summer Olympics – women's team
Alejandra Valencia,bronze,Mexico,1994-10-17,Hermosillo,Hermosillo,archery at the 2024 Summer Olympics – women's team
Ana Paula Vázquez,bronze,Mexico,2000-10-05,Ramos Arizpe,Ramos Arizpe,archery at the 2024 Summer Olympics – women's team
Kim Woo-jin,gold,South Korea,1992-06-20,Okcheon County,North Chungcheong,Archery at the 2024 Summer Olympics – Mixed team
Lim Si-hyeon,gold,South Korea,2003-06-13,Gangneung,Gangwon Province,Archery at the 2024 Summer Olympics – Mixed team
Florian Unruh,silver,Germany,1993-06-07,Rendsburg,Rendsburg-Eckernförde,Archery at the 2024 Summer Olympics – Mixed team
Michelle Kroppen,silver,Germany,1996-04-19,Kevelaer,Kleve,Archery at the 2024 Summer Olympics – Mixed team
Brady Ellison,bronze,United States of America,1988-10-27,Glendale,Maricopa County,Archery at the 2024 Summer Olympics – Mixed team
Casey Kaufhold,bronze,United States of America,2004-03-06,Lancaster,Lancaster County,Archery at the 2024 Summer Olympics – Mixed team
Wang Qianyi,gold,People's Republic of China,1997-01-16,Shenzhen,Guangdong,artistic swimming at the 2024 Summer Olympics – women's duet
Wang Liuyi,gold,People's Republic of China,1997-01-16,Shenzhen,Guangdong,artistic swimming at the 2024 Summer Olympics – women's duet
Kate Shortman,silver,United Kingdom,2001-11-19,Bristol,City of Bristol,artistic swimming at the 2024 Summer Olympics – women's duet
Isabelle Thorpe,silver,United Kingdom,2001-03-04,Bristol,City of Bristol,artistic swimming at the 2024 Summer Olympics – women's duet
Bregje de Brouwer,bronze,Netherlands,1999-03-09,Goirle,North Brabant,artistic swimming at the 2024 Summer Olympics – women's duet
Noortje de Brouwer,bronze,Netherlands,1999-03-09,Goirle,North Brabant,artistic swimming at the 2024 Summer Olympics – women's duet
Chang Hao,gold,People's Republic of China,1997-04-28,Beijing,People's Republic of China,Artistic swimming at the 2024 Summer Olympics – Team event
Feng Yu,gold,People's Republic of China,1999-09-30,Beijing,People's Republic of China,Artistic swimming at the 2024 Summer Olympics – Team event
Wang Ciyue,gold,People's Republic of China,1999-11-14,Nanjing,Jiangsu,Artistic swimming at the 2024 Summer Olympics – Team event
Wang Liuyi,gold,People's Republic of China,1997-01-16,Shenzhen,Guangdong,Artistic swimming at the 2024 Summer Olympics – Team event
Wang Qianyi,gold,People's Republic of China,1997-01-16,Shenzhen,Guangdong,Artistic swimming at the 2024 Summer Olympics – Team event
Xiang Binxuan,gold,People's Republic of China,2001-11-16,NA,NA,Artistic swimming at the 2024 Summer Olympics – Team event
Xiao Yanning,gold,People's Republic of China,1998-02-23,Dazhou,Sichuan,Artistic swimming at the 2024 Summer Olympics – Team event
Zhang Yayi,gold,People's Republic of China,1997-05-06,NA,NA,Artistic swimming at the 2024 Summer Olympics – Team event
Anita Alvarez,silver,United States of America,1996-12-02,Amherst,Erie County,Artistic swimming at the 2024 Summer Olympics – Team event
Jaime Czarkowski,silver,United States of America,2003-12-05,Calgary,Alberta,Artistic swimming at the 2024 Summer Olympics – Team event
Megumi Field,silver,United States of America,2005-10-15,Wilmington,New Castle County,Artistic swimming at the 2024 Summer Olympics – Team event
Keana Hunter,silver,United States of America,2004-03-04,Seattle,King County,Artistic swimming at the 2024 Summer Olympics – Team event
Audrey Kwon,silver,United States of America,2006-12-05,Seoul,South Korea,Artistic swimming at the 2024 Summer Olympics – Team event
Ruby Remati,silver,United States of America,2002-08-14,Sydney,New South Wales,Artistic swimming at the 2024 Summer Olympics – Team event
Meritxell Ferré Gaset,bronze,Spain,2006-11-10,Manresa,Bages,Artistic swimming at the 2024 Summer Olympics – Team event
Meritxell Mas,bronze,Spain,1994-12-25,Granollers,Vallès Oriental,Artistic swimming at the 2024 Summer Olympics – Team event
Alisa Ozhogina,bronze,Spain,2000-10-31,Moscow,Russia,Artistic swimming at the 2024 Summer Olympics – Team event
